Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_2_buyItem\..\dataPool\PayMethod.dat	[MsgId: MERR-13874]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(190): Error -27760: Request "https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(476): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(480): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(480): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(486): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(486): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(492): web_submit_data("414141") started  	[MsgId: MMSG-26355]
Action.c(492): Notify: Transaction "addToCart" ended with a "Stop" status (Duration: 5,9639 Wasted Time: 0,0001).	[MsgId: MMSG-16871]
Action.c(492): Notify: Transaction "UC_2_buyItem" ended with a "Stop" status (Duration: 38,2457 Think Time: 20,0253 Wasted Time: 0,0082).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(492): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/124245413/product/11/color/C3C3C3?quantity=1" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(713): web_custom_request("UpdateSafePayMethodRequest") started  	[MsgId: MMSG-26355]
Action.c(713): Connection to www.advantageonlineshopping.com:443 closed after being inactive for 60 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Action.c(713): Connection to www.googletagmanager.com:443 closed after being inactive for 60 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Action.c(713): Notify: Transaction "payment" ended with a "Stop" status (Duration: 0,3142 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(713): Notify: Transaction "UC_2_buyItem" ended with a "Stop" status (Duration: 61,0908 Think Time: 35,0531 Wasted Time: 0,0101).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(713): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/UpdateSafePayMethodRequest" failed  	[MsgId: MERR-27760]
