Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_2_buyItem\..\dataPool\PayMethod.dat	[MsgId: MERR-13874]
Action.c(588): Registered web_reg_find successful for "Text=userId":473701155" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":47" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":867830368" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":17" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26622: HTTP Status-Code=409 (Conflict) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/444077019"  	[MsgId: MERR-26622]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":441289135" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":36" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":906277672" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":7" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/102249332"  	[MsgId: MERR-26612]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26622: HTTP Status-Code=409 (Conflict) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/444077019"  	[MsgId: MERR-26622]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":102249332" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":21" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/867830368"  	[MsgId: MERR-26612]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/102249332"  	[MsgId: MERR-26612]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":906277672" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":17" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/473701155"  	[MsgId: MERR-26612]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Connection to www.advantageonlineshopping.com:443 closed after being inactive for 66 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Action.c(588): Connection to www.googletagmanager.com:443 closed after being inactive for 66 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":582943225" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":16" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/892403873"  	[MsgId: MERR-26612]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 6.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 6.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":102249332" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":30" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":867830368" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":17" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26622: HTTP Status-Code=409 (Conflict) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/444077019"  	[MsgId: MERR-26622]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 9.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26622: HTTP Status-Code=409 (Conflict) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/444077019"  	[MsgId: MERR-26622]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 11.	[MsgId: MMSG-10545]
Action.c(733): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(735): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(735): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(735): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(738): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(738): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(741): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(741): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/570517106"  	[MsgId: MERR-26612]
Action.c(741): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


